position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,win_rate,points_per_game,goals_for_per_game,goals_against_per_game
1,Manchester City FC,38,28,7,3,91,96,34,62,0.737,2.39,2.53,0.89
2,Arsenal FC,38,28,5,5,89,91,29,62,0.737,2.34,2.39,0.76
3,Liverpool FC,38,24,10,4,82,86,41,45,0.632,2.16,2.26,1.08
4,Aston Villa FC,38,20,8,10,68,76,61,15,0.526,1.79,2.0,1.61
5,Tottenham Hotspur FC,38,20,6,12,66,74,61,13,0.526,1.74,1.95,1.61
6,Chelsea FC,38,18,9,11,63,77,63,14,0.474,1.66,2.03,1.66
7,Newcastle United FC,38,18,6,14,60,85,62,23,0.474,1.58,2.24,1.63
8,Manchester United FC,38,18,6,14,60,57,58,-1,0.474,1.58,1.5,1.53
9,West Ham United FC,38,14,10,14,52,60,74,-14,0.368,1.37,1.58,1.95
10,Crystal Palace FC,38,13,10,15,49,57,58,-1,0.342,1.29,1.5,1.53
11,Brighton & Hove Albion FC,38,12,12,14,48,55,62,-7,0.316,1.26,1.45,1.63
12,Everton FC,38,13,9,16,48,40,51,-11,0.342,1.26,1.05,1.34
13,AFC Bournemouth,38,13,9,16,48,54,67,-13,0.342,1.26,1.42,1.76
14,Fulham FC,38,13,8,17,47,55,61,-6,0.342,1.24,1.45,1.61
15,Wolverhampton Wanderers FC,38,13,7,18,46,50,65,-15,0.342,1.21,1.32,1.71
16,Brentford FC,38,10,9,19,39,56,65,-9,0.263,1.03,1.47,1.71
17,Nottingham Forest FC,38,9,9,20,36,49,67,-18,0.237,0.95,1.29,1.76
18,Luton Town FC,38,6,8,24,26,52,85,-33,0.158,0.68,1.37,2.24
19,Burnley FC,38,5,9,24,24,41,78,-37,0.132,0.63,1.08,2.05
20,Sheffield United FC,38,3,7,28,16,35,104,-69,0.079,0.42,0.92,2.74
