position,team,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference
1,Manchester City FC,38,28,7,3,91,96,34,62
2,Arsenal FC,38,28,5,5,89,91,29,62
3,Liverpool FC,38,24,10,4,82,86,41,45
4,Aston Villa FC,38,20,8,10,68,76,61,15
5,Tottenham Hotspur FC,38,20,6,12,66,74,61,13
6,Chelsea FC,38,18,9,11,63,77,63,14
7,Newcastle United FC,38,18,6,14,60,85,62,23
8,Manchester United FC,38,18,6,14,60,57,58,-1
9,West Ham United FC,38,14,10,14,52,60,74,-14
10,Crystal Palace FC,38,13,10,15,49,57,58,-1
11,Brighton & Hove Albion FC,38,12,12,14,48,55,62,-7
12,Everton FC,38,13,9,16,48,40,51,-11
13,AFC Bournemouth,38,13,9,16,48,54,67,-13
14,Fulham FC,38,13,8,17,47,55,61,-6
15,Wolverhampton Wanderers FC,38,13,7,18,46,50,65,-15
16,Brentford FC,38,10,9,19,39,56,65,-9
17,Nottingham Forest FC,38,9,9,20,36,49,67,-18
18,Luton Town FC,38,6,8,24,26,52,85,-33
19,Burnley FC,38,5,9,24,24,41,78,-37
20,Sheffield United FC,38,3,7,28,16,35,104,-69
